,Vendor,Model Number,Notes,Location,TR Owned / Vendor Loan,Loan Date,Due Back,Returned,Loan Contact,Customer,Shipped,Tracking,Notes
,FS,20363,1000BASE-SX-85-I 850nm 550m Industrial,Mike's,Sold TAS-PGT Marquez 1,,,,,,,,
,FS,20363,1000BASE-SX-85-I 850nm 550m Industrial,Mike's,Sold TAS-PGT Marquez 2,,,,,,,,
,FS,20363,1000BASE-SX-85-I 850nm 550m Industrial,Mike's,Sold TAS-PGT Marquez 3,,,,,,,,
,FS,20363,1000BASE-SX-85-I 850nm 550m Industrial,Mike's,Sold TAS-PGT Marquez 4,,,,,,,,
,FS,20363,1000BASE-SX-85-I 850nm 550m Industrial,Mike's,Sold TAS-PGT Marquez 5,,,,,,,,
,FS,20363,1000BASE-SX-85-I 850nm 550m Industrial,Mike's,Sold TAS-PGT Marquez 6,,,,,,,,
,FS,20363,1000BASE-SX-85-I 850nm 550m Industrial,Mike's,TR Owned,,,,,,,,
,FS,20363,1000BASE-SX-85-I 850nm 550m Industrial,Mike's,TR Owned,,,,,,,,
,FS,20363,1000BASE-SX-85-I 850nm 550m Industrial,Mike's,TR Owned,,,,,,,,
,FS,20363,1000BASE-SX-85-I 850nm 550m Industrial,Mike's,TR Owned,,,,,,,,
,FS,39297,1000BASE-T 100m Industrial,Mike's,TR Owned,,,,,,,,
,FS,39297,1000BASE-T 100m Industrial,Mike's,TR Owned,,,,,,,,
,FS,39297,1000BASE-T 100m Industrial,Mike's,TR Owned,,,,,,,,
,FS,39297,1000BASE-T 100m Industrial,Mike's,TR Owned,,,,,,,,
,FS,39297,1000BASE-T 100m Industrial,Mike's,TR Owned,,,,,,,,
,FS,112161,1000BASE-T 100m Hirschmann Coded,Mike's,TR Owned,,,,,,,,
,FS,11773,1000BASE-T 100m ,Mike's,TR Owned,,,,,,,,
,FS,11773,1000BASE-T 100m ,Mike's,TR Owned,,,,,,,,
,FS,,1000BASE-SX-31 1310nm 2km,Mike's,TR Owned,,,,,,,,
,FS,20363,1000BASE-SX-85-I 850nm 550m Industrial Hirschmann Coded,Mike's,TR Owned,,,,,,,,
,FS,,1000BASE-SX-85 850nm 550m Hirschmann Coded,Mike's,TR Owned,,,,,,,,
,FS,12713,100BASE-FX-31-I 1310 2km Industrial Hirschmann Coded,Mike's,TR Owned,,,,,,,,
,FS,12713,100BASE-FX-31-I 1310 2km Industrial Hirschmann Coded,Mike's,TR Owned,,,,,,,,
,FS,20363,1000BASE-SX-85-I 850nm 550m Industrial Hirschmann Coded,Mike's,TR Owned,,,,,,,,
,FS,,100BASE-FX-31-I 1310 2km Industrial Generic Coded,Mike's,TR Owned,,,,,,,,
,FS,,1000BASE-SX-31 1310 2km Cisco Coded,Mike's,TR Owned,,,,,,,,
,FS,150470,1000BASE-ELX-31-I 1310nm 20km Industrial Cisco Coded,Mike's,TR Owned,,,,,,,,
,FS,150470,1000BASE-ELX-31-I 1310nm 20km Industrial Cisco Coded,Mike's,TR Owned,,,,,,,,
,FS,150470,1000BASE-ELX-31-I 1310nm 20km Industrial Cisco Coded,Mike's,TR Owned,,,,,,,,
,FS,150470,1000BASE-ELX-31-I 1310nm 20km Industrial Cisco Coded,Mike's,TR Owned,,,,,,,,
,FS,150470,1000BASE-ELX-31-I 1310nm 20km Industrial Cisco Coded,Mike's,TR Owned,,,,,,,,
,FS,150470,1000BASE-ELX-31-I 1310nm 20km Industrial Cisco Coded,Mike's,TR Owned,,,,,,,,
,FS,150470,1000BASE-ELX-31-I 1310nm 20km Industrial Hirschmann Coded,Mike's,TR Owned,,,,,,,,
,FS,150470,1000BASE-ELX-31-I 1310nm 20km Industrial Hirschmann Coded,Mike's,TR Owned,,,,,,,,
,Westermo,1100-0172/2,100TX-LOS-IT-WP Copper RJ-45,Josh's,TR Owned,,,,,,,,
,Westermo,1100-0172/2,100TX-LOS-IT-WP Copper RJ-45,Josh's,TR Owned,,,,,,,,
,Westermo,1100-0172/2,100TX-LOS-IT-WP Copper RJ-45,Josh's,TR Owned,,,,,,,,
,Westermo,1100-0172/2,100TX-LOS-IT-WP Copper RJ-45,Josh's,TR Owned,,,,,,,,
,Hirschmann,943 945-001,M-FAST SFP-MM/LC EEC - 100M,Josh's,TR Owned,,,,,,,,
,Hirschmann,943 896-001,M-SFP-SX/LC EEC,Josh's,TR Owned,,,,,,,,
,Hirschmann,942 098-001,M-FAST-SFP-TX/RJ45 - 0560,Mike's,TR Owned,,,,,,,,
,Hirschmann,942 098-001,M-FAST-SFP-TX/RJ45 - 0561,Mike's,TR Owned,,,,,,,,
,Hirschmann,943 977-001,M-SFP-TX/RJ45 - CGKY,Mike's,TR Owned,,,,,,,,
,Hirschmann,943 977-001,M-SFP-TX/RJ45 - CGZ1,Mike's,TR Owned,,,,,,,,
,Hirschmann,943 865-001,M-FAST SFP-MM/LC - CVHH,Mike's,TR Owned,,,,,,,,
,Hirschmann,943 865-001,M-FAST SFP-MM/LC - C2U3,Mike's,TR Owned,,,,,,,,
,Hirschmann,943 866-001,M-FAST SFP-SM/LC - FSB5,Mike's,TR Owned,,,,,,,,
,Hirschmann,943 866-001,M-FAST SFP-SM/LC - F72A,Mike's,TR Owned,,,,,,,,
,Hirschmann,943 014-001,M-SFP-SX/LC- DF71,Mike's,TR Owned,,,,,,,,
,Hirschmann,943 014-001,M-SFP-SX/LC- DF7J,Mike's,TR Owned,,,,,,,,
,Hirschmann,943 015-001,M-SFP-LX/LC-F3N1,Mike's,TR Owned,,,,,,,,
,Hirschmann,943 015-001,M-SFP-LX/LC-F5KL,Mike's,TR Owned,,,,,,,,
,Net Ally,LinkRunner AT4000,,Mike's,TR Owned,,,,,,,,
,Softing,Cable Master 210,,Josh's,TR Owned,,,,,,,,
,Softing,Cable Master FO,,Josh's,TR Owned,,,,,,,,
,Softing,Link Xpert M3 Kit,,Josh's,TR Owned,,,,,,,,
,Softing,XG2 Kit,,Josh's,TR Owned,,,,,,,,
